2017-01-11 17:02:34 : Lancement du serveur
2017-01-11 17:03:26 : Envoi de la commande du perif : 5, nouvelle valeur 0
2017-01-11 17:03:28 : Envoi de la commande du perif : 5, nouvelle valeur 0
2017-01-11 17:03:29 : Envoi de la commande du perif : 5, nouvelle valeur 0
2017-01-11 17:03:33 : Envoi de la commande du perif : 5, nouvelle valeur 0
2017-01-11 17:08:50 : Envoi de la commande du perif : 5, nouvelle valeur 0
2017-01-11 17:08:51 : Envoi de la commande du perif : 5, nouvelle valeur 0
2017-01-11 17:09:12 : Envoi de la commande du perif : 5, nouvelle valeur 0
2017-01-11 17:09:13 : Envoi de la commande du perif : 5, nouvelle valeur 0
2017-01-11 17:09:16 : Envoi de la commande du perif : 5, nouvelle valeur 0
2017-01-11 17:09:17 : Envoi de la commande du perif : 5, nouvelle valeur 0
2017-01-11 17:09:18 : Envoi de la commande du perif : 5, nouvelle valeur 0
