2017-01-31 21:32:57 : Envoi de la commande du perif : 1, nouvelle valeur 1
2017-01-31 21:32:57 : Envoi de la commande du perif : 4, nouvelle valeur 1
2017-01-31 21:33:40 : Envoi de la commande du perif : 1, nouvelle valeur 0
2017-01-31 21:33:41 : Envoi de la commande du perif : 4, nouvelle valeur 0
2017-01-31 21:33:42 : Envoi de la commande du perif : 1, nouvelle valeur 1
2017-01-31 21:33:42 : Envoi de la commande du perif : 4, nouvelle valeur 1
2017-01-31 21:34:09 : Envoi de la commande du perif : 1, nouvelle valeur 0
2017-01-31 21:34:09 : Envoi de la commande du perif : 4, nouvelle valeur 0
2017-01-31 21:35:11 : redemarrage manuel du serveur
2017-01-31 21:37:19 : Envoi de la commande du perif : 1, nouvelle valeur 1
2017-01-31 21:37:49 : Envoi de la commande du perif : 1, nouvelle valeur 0
2017-01-31 21:38:19 : Envoi de la commande du perif : 4, nouvelle valeur 1
2017-01-31 21:38:49 : Envoi de la commande du perif : 4, nouvelle valeur 0
2017-01-31 21:38:52 : Envoi de la commande du perif : 1, nouvelle valeur 1
2017-01-31 21:38:53 : Envoi de la commande du perif : 4, nouvelle valeur 1
2017-01-31 21:40:12 : Envoi de la commande du perif : 1, nouvelle valeur 0
2017-01-31 21:40:12 : Envoi de la commande du perif : 4, nouvelle valeur 0
2017-01-31 21:40:19 : Envoi de la commande du perif : 4, nouvelle valeur 1
2017-01-31 21:40:32 : Envoi de la commande du perif : 4, nouvelle valeur 0
2017-01-31 21:41:04 : Envoi de la commande du perif : 1, nouvelle valeur 1
2017-01-31 21:41:04 : Envoi de la commande du perif : 4, nouvelle valeur 1
2017-01-31 21:41:10 : Envoi de la commande du perif : 1, nouvelle valeur 0
2017-01-31 21:41:11 : Envoi de la commande du perif : 4, nouvelle valeur 0
2017-01-31 21:41:42 : Envoi de la commande du perif : 1, nouvelle valeur 1
2017-01-31 21:41:43 : Envoi de la commande du perif : 1, nouvelle valeur 0
2017-01-31 21:41:43 : Envoi de la commande du perif : 4, nouvelle valeur 0
2017-01-31 21:41:44 : Envoi de la commande du perif : 1, nouvelle valeur 1
2017-01-31 21:41:46 : Envoi de la commande du perif : 1, nouvelle valeur 0
2017-01-31 21:41:46 : Envoi de la commande du perif : 4, nouvelle valeur 0
2017-01-31 21:41:47 : Envoi de la commande du perif : 1, nouvelle valeur 1
